"","EditId","occid","CatalogNumber","dbpk","ReviewStatus","AppliedStatus","Editor","Timestamp","FieldName","OldValue","NewValue"
"99931",2102823,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7228125,"decimallatitude","41.784011999999997","41.784140000000001"
"107631",2102824,4264585,"0027063MOR",33673,"OPEN","APPLIED","Hipp, Andrew",42388.7228125,"decimallongitude","-86.716707999999997","-86.716922999999994"
"7432",2102837,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7240046296,"coordinateuncertaintyinmeters","161","177"
"99930",2102835,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7240046296,"decimallatitude","41.764079000000002","41.783852000000003"
"107630",2102836,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7240046296,"decimallongitude","-86.738390999999993","-86.716879000000006"
"7431",2102851,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7246180556,"coordinateuncertaintyinmeters","177","190"
"99929",2102849,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7246180556,"decimallatitude","41.783852000000003","41.78398"
"107629",2102850,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7246180556,"decimallongitude","-86.716879000000006","-86.717050999999998"
"7430",2102855,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7251041667,"coordinateuncertaintyinmeters","190","183"
"99928",2102853,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7251041667,"decimallatitude","41.78398","41.784140000000001"
"107628",2102854,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7251041667,"decimallongitude","-86.717050999999998","-86.717009000000004"
"7429",2102864,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7255208333,"coordinateuncertaintyinmeters","183","157"
"107627",2102865,4264588,"0027350MOR",33676,"OPEN","APPLIED","Hipp, Andrew",42388.7257291667,"decimallongitude","-86.717009000000004","-86.716922999999994"
"7428",2102898,4264589,"0027453MOR",33677,"OPEN","APPLIED","Hipp, Andrew",42388.7267824074,"coordinateuncertaintyinmeters","161","160"
"99927",2102896,4264589,"0027453MOR",33677,"OPEN","APPLIED","Hipp, Andrew",42388.7267824074,"decimallatitude","41.764079000000002","41.784011999999997"
"107626",2102897,4264589,"0027453MOR",33677,"OPEN","APPLIED","Hipp, Andrew",42388.7267824074,"decimallongitude","-86.738390999999993","-86.716449999999995"
"7427",2102901,4264589,"0027453MOR",33677,"OPEN","APPLIED","Hipp, Andrew",42388.727037037,"coordinateuncertaintyinmeters","160","157"
"99926",2102899,4264589,"0027453MOR",33677,"OPEN","APPLIED","Hipp, Andrew",42388.727037037,"decimallatitude","41.784011999999997","41.784140000000001"
"107625",2102900,4264589,"0027453MOR",33677,"OPEN","APPLIED","Hipp, Andrew",42388.727037037,"decimallongitude","-86.716449999999995","-86.716922999999994"
"99924",2140001,4258558,"0027275MOR",26785,"OPEN","APPLIED","Hipp, Andrew",42395.6234837963,"decimallatitude","42.452849999999998","42.439141200000002"
"107623",2140002,4258558,"0027275MOR",26785,"OPEN","APPLIED","Hipp, Andrew",42395.6234837963,"decimallongitude","-88.185879999999997","-88.187058300000004"
"7425",2140008,4258558,"0027275MOR",26785,"OPEN","APPLIED","Hipp, Andrew",42395.6250231481,"coordinateuncertaintyinmeters","200",NA
"99923",2140015,4258558,"0027275MOR",26785,"OPEN","APPLIED","Hipp, Andrew",42395.6274537037,"decimallatitude","42.439141200000002","42.443004999999999"
"107622",2140016,4258558,"0027275MOR",26785,"OPEN","APPLIED","Hipp, Andrew",42395.6274537037,"decimallongitude","-88.187058300000004","-88.189719100000005"
"7389",2140489,4265659,"0027197MOR",34754,"OPEN","APPLIED","Hipp, Andrew",42395.7023032407,"coordinateuncertaintyinmeters","42","69"
"99888",2140487,4265659,"0027197MOR",34754,"OPEN","APPLIED","Hipp, Andrew",42395.7023032407,"decimallatitude","41.752543000000003","41.752370999999997"
"107587",2140488,4265659,"0027197MOR",34754,"OPEN","APPLIED","Hipp, Andrew",42395.7023032407,"decimallongitude","-86.665852000000001","-86.666480000000007"
"7388",2140511,4265659,"0027197MOR",34754,"OPEN","APPLIED","Hipp, Andrew",42395.7036921296,"coordinateuncertaintyinmeters","69","75"
