"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0065681MOR","42.005438|bannon-hipp|NA","-89.236601|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","200|bannon-hipp|NA"
"0065682MOR","39.180108|bannon-hipp|NA","-89.473488|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","166|bannon-hipp|NA"
"0065683MOR","38.275272|bannon-hipp|NA","-89.971236|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","218|bannon-hipp|NA"
"0065684MOR","37.558859|bannon-hipp|NA","-89.45589|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","218|bannon-hipp|NA"
"0065685MOR","38.294024|bannon-hipp|NA","-89.908204|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","198|bannon-hipp|NA"
"0065686MOR","38.241135|bannon-hipp|NA","-89.893758|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","235|bannon-hipp|NA"
"0065687MOR","38.23585|bannon-hipp|NA","-89.895815|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","193|bannon-hipp|NA"
"0065688MOR","40.102134|bannon-hipp|NA","-90.389418|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0065689MOR","39.865292|bannon-hipp|NA","-89.541689|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description - roadside park|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","63|bannon-hipp|NA"
"0065690MOR","41.438672|bannon-hipp|NA","-90.766661|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","186|bannon-hipp|NA"
"0065691MOR","38.719536|bannon-hipp|NA","-88.166683|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","178|bannon-hipp|NA"
"0065692MOR","38.110075|bannon-hipp|NA","-89.883284|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","200|bannon-hipp|NA"
"0065693MOR","38.475957|bannon-hipp|NA","-90.81703|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1010|bannon-hipp|NA"
"0065694MOR","39.010543|bannon-hipp|NA","-94.115572|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","225|bannon-hipp|NA"
"0065695MOR","37.775187|bannon-hipp|NA","-90.616394|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1036|bannon-hipp|NA"
"0065696MOR","40.373048|bannon-hipp|NA","-94.861141|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2057|bannon-hipp|NA"
"0065697MOR","40.066807|bannon-hipp|NA","-94.099918|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2061|bannon-hipp|NA"
"0065698MOR","40.373048|bannon-hipp|NA","-94.861141|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2057|bannon-hipp|NA"
"0065699MOR","37.161515|bannon-hipp|NA","-94.405692|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2102|bannon-hipp|NA"
"0065700MOR","38.862503|bannon-hipp|NA","-94.327444|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2005|bannon-hipp|NA"
"0065701MOR","38.224934|bannon-hipp|NA","-91.150371|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","235|bannon-hipp|NA"
"0065702MOR","37.269432|bannon-hipp|NA","-94.515529|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","986|bannon-hipp|NA"
"0065703MOR","40.226731|bannon-hipp|NA","-92.689648|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2209|bannon-hipp|NA"
"0065704MOR","36.59116|bannon-hipp|NA","-92.202906|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","240|bannon-hipp|NA"
"0065705MOR","37.2745|bannon-hipp|NA","-94.596584|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1073|bannon-hipp|NA"
"0065706MOR","35.773255|bannon-hipp|NA","-103.804662|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2035|bannon-hipp|NA"
"0065707MOR","35.775205|bannon-hipp|NA","-103.807409|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2059|bannon-hipp|NA"
"0065708MOR","30.750147|bannon-hipp|NA","-104.0838|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1993|bannon-hipp|NA"
